Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,category
Jagaran Microfin,unknown,Later Stage,8030000.0,Kolkata,2018,Other
Vivriti Capital,financial services,unknown,28500000.0,Chennai,2018,Consulting & Services
Be U Salons,apps,Early Stage,438000.0,New Delhi,2018,Other
Impact Guru,creative agency,Series A to Series H,2000000.0,Mumbai,2018,Other
MobiKwik,consumer lending,Series A to Series H,3504000.0,Gurgaon,2018,Other
Stones2Milestones,e-learning,Early Stage,0.0,Gurgaon,2018,Other
Generico,health care,Series A to Series H,0.0,Mumbai,2018,Healthcare
Adiuvo Diagnostics,health diagnostics,Early Stage,0.0,Chennai,2018,Healthcare
DataTrained,edtech,Early Stage,1752000.0,Bangalore,2018,Technology
OneAssist,financial services,Later Stage,2400000.0,Mumbai,2018,Consulting & Services
Satin Creditcare Network Limited (SCNL),banking,Later Stage,30000000.0,New Delhi,2018,Finance $ Banking
APAC Financial Services,finance,Later Stage,36500000.0,Mumbai,2018,Finance $ Banking
Moglix,b2b,Series A to Series H,23000000.0,Noida,2018,Other
SEDEMAC Mechatronics,automotive,unknown,0.0,Mumbai,2018,Autommotive $ Transportation
MadGuy Labs,e-learning,unknown,150000.0,Hyderabad,2018,Other
Dee Dee Labs,embedded systems,Early Stage,0.0,Pune,2018,Other
FLEECA,unknown,Early Stage,0.0,Jaipur,2018,Other
Shop101,apps,Series A to Series H,11000000.0,Mumbai,2018,Other
FeedMyPockets,advertising,Early Stage,642400.0,Bangalore City,2018,Other
Housejoy,beauty,Series A to Series H,3240000.0,Bengaluru,2018,Other
Ambee,health care,Angel and Grants,0.0,Bangalore,2018,Healthcare
FoodBuddy,food delivery,Early Stage,876000.0,Belgaum,2018,Food & Agriculture
Ninjacart,agtech,Series A to Series H,36500000.0,Bengaluru,2018,Technology
Olly Smart Credit Card,credit cards,Early Stage,0.0,New Delhi,2018,Finance $ Banking
Zestl,software,Early Stage,0.0,Pune,2018,Technology
BYJU’S,edtech,Later Stage,540000000.0,Bangalore,2018,Technology
Wakefit,manufacturing,unknown,9490000.0,Bangalore,2018,Other
Hero Electric,manufacturing,unknown,23360000.0,New Delhi,2018,Other
Pentation Analytics,information services,Early Stage,0.0,Mumbai,2018,Consulting & Services
PerkFinance,consumer lending,Early Stage,900000.0,Bangalore,2018,Other
Roposo,internet,Series A to Series H,10000000.0,Gurgaon,2018,Technology
Plum Goodness,beauty,Series A to Series H,0.0,Thane,2018,Other
Drstore,hospital,Early Stage,0.0,Mumbai,2018,Other
Wow Venue,events,unknown,1500000.0,Mumbai,2018,Other
Chizel,3d printing,Early Stage,0.0,Pune,2018,Other
OTO Capital,automotive,Early Stage,730000.0,Mumbai,2018,Autommotive $ Transportation
Boodmo,automotive,Early Stage,1022000.0,Gurgaon,2018,Autommotive $ Transportation
Khabri,apps,Early Stage,0.0,Haryana,2018,Other
MyNewCar.in,automotive,unknown,1000000.0,Gurgaon,2018,Autommotive $ Transportation
HalaPlay Technologies,digital entertainment,Series A to Series H,5000000.0,Bangalore,2018,Other
PlanetSpark,e-learning,Early Stage,233600.0,Gurgaon,2018,Other
WheelsEMI,unknown,Series A to Series H,14000000.0,Pune,2018,Other
Forum for Innovation Incubation Research and Entrepreneurship,funding platform,Angel and Grants,1496500.0,Margão,2018,Other
OYO,hospitality,Series A to Series H,100000000.0,Gurgaon,2018,Other
Quikr,classifieds,Later Stage,8030000.0,Bangalore,2018,Other
Tabono,sports,Early Stage,0.0,Gurgaon,2018,Other
LearnApp,banking,Early Stage,292000.0,Noida,2018,Finance $ Banking
Shopkirana,e-commerce,unknown,2000000.0,Indore,2018,E-Commerce & Marketplace
Fric Bergen,unknown,unknown,0.0,Alwar,2018,Other
Articbot,artificial intelligence,Angel and Grants,17520.0,Kannur,2018,Other
BuildSupply,enterprise resource planning (erp),Series A to Series H,3650000.0,Gurgaon,2018,Other
Fusion Microfinance,banking,Series A to Series H,75920000.0,New Delhi,2018,Finance $ Banking
Any time Doctor,software,Angel and Grants,0.0,Chennai,2018,Technology
Go Payments,information services,Later Stage,0.0,Mumbai,2018,Consulting & Services
Guiddoo World,audio,Early Stage,800000.0,Mumbai,2018,Other
ION Energy,energy,unknown,1041000.0,Mumbai,2018,Other
UnoTag,artificial intelligence,Early Stage,100000.0,Bangalore,2018,Other
CivilCops,government,Early Stage,100000.0,Gurgaon,2018,Other
Rockmetric,information technology,Angel and Grants,0.0,Mumbai,2018,Technology
Classworks India,education,unknown,1460.0,Chennai,2018,Other
Snapmint,consumer lending,Early Stage,0.0,Mumbai,2018,Other
artbandhu,digital media,Early Stage,15000.0,Bangalore,2018,Other
Survaider,business intelligence,Early Stage,500000.0,Bengaluru,2018,Other
Credy,credit,Early Stage,1400000.0,Bengaluru,2018,Finance $ Banking
iChamp,e-learning,Early Stage,5000000.0,Gurgaon,2018,Other
Qandle,software,Early Stage,1200000.0,Gurgaon,2018,Technology
Avishkaar Box,children,Early Stage,730000.0,Delhi,2018,Other
Gegadyne Energy,automotive,Angel and Grants,0.0,Mumbai,2018,Autommotive $ Transportation
HyperXchange,e-commerce,Series A to Series H,1000000.0,Pune,2018,E-Commerce & Marketplace
Deftouch,unknown,Early Stage,0.0,Bangalore,2018,Other
Doodhwala,food delivery,Early Stage,2200000.0,Bengaluru,2018,Food & Agriculture
DronaHQ,mobile,Angel and Grants,500000.0,Mumbai,2018,Other
FastFox,rental,Series A to Series H,1460000.0,Gurgaon,2018,Other
BuyForexOnline,travel,unknown,2000000.0,Bangalore,2018,Other
Colive.in,consumer,Early Stage,1800000.0,Bangalore,2018,Other
Agricxlab Private Limited,b2b,Early Stage,500000.0,Thane,2018,Other
Corefactors,unknown,Early Stage,0.0,Bangalore,2018,Other
Fincash.com,wealth management,Early Stage,150000.0,Mumbai,2018,Finance $ Banking
Pandorum Technologies,biotechnology,Series A to Series H,3600000.0,Bengaluru,2018,Technology
Shirsa Labs,education,Early Stage,500000.0,Mumbai,2018,Other
PetSutra,veterinary,Early Stage,138700.0,Gurgaon,2018,Other
Awaaz De,internet,Angel and Grants,0.0,Ahmedabad,2018,Technology
PinkBlue,health care,Early Stage,300000.0,Bangalore,2018,Healthcare
Eduvanz,finance,Angel and Grants,500000.0,Mumbai,2018,Finance $ Banking
Rupeek,financial services,Series A to Series H,6830000.0,Bangalore,2018,Consulting & Services
Backpacker Panda Holidays Private Limited,tourism,Series A to Series H,1400000.0,Pune,2018,Other
Shape (School Health and Physical Education),education,Early Stage,200000.0,Pune,2018,Other
Placio,hospitality,Early Stage,2000000.0,Noida,2018,Other
Aviom India Housing Finance,finance,Series A to Series H,2190000.0,New Delhi,2018,Finance $ Banking
GenRobotic,market research,Early Stage,0.0,Trivandrum,2018,E-Commerce & Marketplace
HeyHolidays,tourism,Early Stage,1000000.0,Bangalore,2018,Other
Pratilipi,digital media,Series A to Series H,4300000.0,Bengaluru,2018,Other
SectorQube,consumer electronics,Early Stage,0.0,Ernakulam,2018,Other
Food Memories,food and beverage,Early Stage,0.0,Ahmedabad,2018,Food & Agriculture
ZAMROO,internet,Early Stage,0.0,India,2018,Technology
Silversparro Technologies Pvt. Ltd,analytics,Early Stage,300000.0,Gurgaon,2018,Other
Creator’s Gurukul,facilities support services,Angel and Grants,0.0,Gurgaon,2018,Consulting & Services
Emflux Motors,automotive,Early Stage,364846.0,Bengaluru,2018,Autommotive $ Transportation
Tricog Health Services Pvt Ltd,health care,Series A to Series H,4000000.0,Bangalore,2018,Healthcare
Scapic,cloud computing,Early Stage,500000.0,Bangalore,2018,Other
6Degree,fashion,Early Stage,400000.0,Mumbai,2018,Other
Chrysalis (EZ Vidya),education,Early Stage,0.0,Chennai,2018,Other
Ekincare,medical,Series A to Series H,1500000.0,Hyderabad,2018,Healthcare
Streo,music streaming,Early Stage,0.0,Gurgaon,2018,Other
